,score,avg_moves,num_positivs,reward
7629,620,76,1,7899.0
7630,500,69,1,5881.0
7631,380,63,1,3753.0
7632,1160,105,1,14920.0
7633,460,68,1,4234.0
7634,800,87,1,8538.0
7635,580,67,1,5522.0
7636,720,84,1,9759.0
7637,720,88,1,10009.0
7638,1220,112,1,16922.0
7639,700,82,1,7938.0
7640,1060,92,1,11596.0
7641,280,59,1,2426.0
7642,1140,93,1,13552.0
7643,620,80,1,8208.0
7644,480,66,1,5469.0
7645,400,64,1,3597.0
7646,1140,97,1,13234.0
7647,580,75,1,7591.0
7648,800,87,1,9265.0
7649,400,61,1,3978.0
7650,620,76,1,7486.0
7651,480,70,1,4760.0
7652,680,85,1,9258.0
7653,640,77,1,6732.0
7654,560,75,1,6953.0
7655,680,82,1,8090.0
7656,380,58,1,2993.0
7657,560,76,1,6788.0
7658,1380,121,1,17702.0
7659,880,95,1,10985.0
7660,400,65,1,3108.0
7661,280,56,1,1798.0
7662,980,96,1,11710.0
7663,360,61,1,2616.0
7664,500,67,1,5332.0
7665,720,74,1,7716.0
7666,1220,101,1,14609.0
7667,580,73,1,6602.0
7668,680,62,1,6599.0
7669,440,69,1,5402.0
7670,1180,112,1,15695.0
7671,760,88,1,9585.0
7672,400,65,1,4031.0
7673,340,56,1,4209.0
7674,240,55,1,1695.0
7675,340,62,1,3250.0
7676,360,63,1,4028.0
7677,500,71,1,5402.0
7678,280,59,1,2710.0
7679,580,76,1,7033.0
7680,1360,114,1,17807.0
7681,460,69,1,5185.0
7682,900,84,1,9544.0
7683,600,77,1,8211.0
7684,1180,99,1,13457.0
7685,800,92,1,10965.0
7686,700,82,1,8610.0
7687,400,62,1,3062.0
7688,700,83,1,8891.0
7689,960,88,1,11866.0
7690,340,62,1,2596.0
7691,380,65,1,3530.0
7692,520,67,1,6379.0
7693,480,66,1,5623.0
7694,880,95,1,11134.0
7695,460,69,1,4881.0
7696,780,89,1,10738.0
7697,700,83,1,9271.0
7698,580,74,1,7521.0
7699,1240,105,1,15397.0
7700,360,65,1,3967.0
7701,520,69,1,5394.0
7702,280,58,1,2249.0
7703,280,56,1,2584.0
7704,700,81,1,8112.0
7705,740,72,1,6283.0
7706,500,74,1,5924.0
7707,300,58,1,1564.0
7708,420,67,1,4564.0
7709,340,63,1,3048.0
7710,700,82,1,8868.0
7711,740,75,1,8342.0
7712,820,92,1,10940.0
7713,640,80,1,8104.0
7714,400,67,1,4219.0
7715,820,78,1,8902.0
7716,920,95,1,12003.0
7717,680,80,1,7627.0
7718,880,91,1,10884.0
7719,760,73,1,8269.0
7720,380,60,1,2475.0
7721,1260,104,1,15307.0
7722,580,76,1,6577.0
7723,800,79,1,9338.0
7724,500,70,1,6134.0
7725,700,83,1,9071.0
7726,800,85,1,10055.0
7727,660,81,1,8427.0
7728,440,70,1,5443.0
7729,740,84,1,8467.0
7730,620,77,1,7037.0
7731,240,55,1,2343.0
7732,480,68,1,5494.0
7733,540,74,1,6128.0
7734,1280,116,1,17669.0
7735,540,71,1,5892.0
7736,880,94,1,11604.0
7737,1300,115,1,15983.0
7738,0,24,0,-1552.0
7739,940,93,1,10943.0
7740,1240,102,1,14581.0
7741,1240,107,1,16180.0
7742,520,73,1,6805.0
7743,620,77,1,7592.0
7744,760,87,1,9934.0
7745,760,84,1,8629.0
7746,360,62,1,3899.0
7747,360,66,1,4432.0
7748,500,66,1,5263.0
7749,580,75,1,6902.0
7750,540,72,1,6325.0
7751,420,65,1,4882.0
7752,480,71,1,5702.0
7753,1600,101,1,18617.0
7754,500,72,1,5945.0
7755,1120,104,1,14823.0
7756,1040,105,1,13504.0
7757,680,80,1,8070.0
7758,200,52,1,1726.0
7759,440,67,1,5757.0
7760,880,93,1,11606.0
7761,840,82,1,9924.0
7762,320,56,1,1698.0
7763,740,85,1,9928.0
7764,360,65,1,3805.0
7765,460,68,1,5172.0
7766,740,85,1,9380.0
7767,500,70,1,5525.0
7768,1020,97,1,12553.0
7769,1020,99,1,12903.0
7770,1100,104,1,14090.0
7771,960,97,1,12451.0
7772,640,79,1,7934.0
7773,660,77,1,8798.0
7774,740,86,1,9131.0
7775,880,91,1,11179.0
7776,480,71,1,5898.0
7777,200,56,1,2010.0
7778,620,67,1,6726.0
7779,580,74,1,6296.0
7780,780,78,1,8903.0
7781,760,86,1,9588.0
7782,380,65,1,4449.0
7783,680,75,1,8377.0
7784,380,64,1,4302.0
7785,520,73,1,6380.0
7786,740,88,1,9540.0
7787,1260,114,1,16983.0
7788,1300,114,1,17519.0
7789,500,71,1,5696.0
7790,820,75,1,9807.0
7791,240,54,1,632.0
7792,720,73,1,8115.0
7793,620,77,1,7498.0
7794,580,75,1,6983.0
7795,400,68,1,4427.0
7796,880,90,1,10866.0
7797,440,69,1,5370.0
7798,400,69,1,4614.0
7799,740,84,1,9594.0
7800,780,86,1,9924.0
7801,2080,94,1,13593.0
7802,900,93,1,11560.0
7803,280,57,1,2398.0
7804,520,70,1,5911.0
7805,440,67,1,5402.0
7806,240,52,1,1940.0
7807,480,72,1,6308.0
7808,620,77,1,6510.0
7809,720,81,1,8325.0
7810,540,74,1,7026.0
7811,120,48,1,344.0
7812,500,72,1,5655.0
7813,560,74,1,6337.0
7814,540,76,1,7045.0
7815,640,78,1,6895.0
7816,1320,107,1,15135.0
7817,660,79,1,8468.0
7818,600,76,1,6324.0
7819,660,79,1,7375.0
7820,860,80,1,9523.0
7821,940,99,1,13429.0
7822,700,73,1,7879.0
7823,420,65,1,4377.0
7824,860,91,1,11014.0
7825,600,77,1,7284.0
7826,200,52,1,1572.0
7827,520,73,1,5565.0
7828,240,57,1,2454.0
7829,640,80,1,8132.0
7830,420,67,1,4738.0
7831,460,69,1,5100.0
7832,720,81,1,9233.0
7833,500,62,1,4778.0
7834,860,85,1,10275.0
7835,540,72,1,6224.0
7836,840,89,1,9897.0
7837,600,76,1,6603.0
7838,1000,102,1,13879.0
7839,360,60,1,1800.0
7840,1340,118,1,17461.0
7841,660,80,1,7982.0
7842,760,84,1,9576.0
7843,520,71,1,5071.0
7844,660,81,1,8389.0
7845,1020,88,1,12368.0
7846,640,80,1,8461.0
7847,320,57,1,2599.0
7848,480,70,1,4986.0
