,score,avg_moves,num_positivs
980,0,27,0
981,180,47,1
982,0,23,0
983,0,28,0
984,500,45,1
985,40,31,1
986,0,34,0
987,0,31,0
988,0,28,0
989,0,24,0
990,40,41,1
991,0,37,0
992,0,30,0
993,0,36,0
994,0,25,0
995,0,39,0
996,0,26,0
997,0,31,0
998,0,25,0
999,0,28,0
1000,80,41,1
1001,0,30,0
1002,140,40,1
1003,100,21,1
1004,0,35,0
1005,160,43,1
1006,0,25,0
1007,0,26,0
1008,0,22,0
1009,0,23,0
1010,0,25,0
1011,0,33,0
1012,0,24,0
1013,0,31,0
1014,100,26,1
1015,0,31,0
1016,0,29,0
1017,0,26,0
1018,0,27,0
1019,0,25,0
1020,0,31,0
1021,0,37,0
1022,0,30,0
1023,40,33,1
1024,0,23,0
1025,400,36,1
1026,0,25,0
1027,0,33,0
1028,40,35,1
1029,140,42,1
1030,0,31,0
1031,0,23,0
1032,0,35,0
1033,40,32,1
1034,40,36,1
1035,0,20,0
1036,0,23,0
1037,0,24,0
1038,0,37,0
1039,0,23,0
1040,0,27,0
1041,0,19,0
1042,0,29,0
1043,0,27,0
1044,0,21,0
1045,40,42,1
1046,100,34,1
1047,0,27,0
1048,0,22,0
1049,0,26,0
1050,0,22,0
1051,120,41,1
1052,120,43,1
1053,120,45,1
1054,100,31,1
1055,0,25,0
1056,0,23,0
1057,40,34,1
1058,0,29,0
1059,0,22,0
1060,0,25,0
1061,0,21,0
1062,460,55,1
1063,120,43,1
1064,0,20,0
1065,80,39,1
1066,100,32,1
1067,160,46,1
1068,0,35,0
1069,40,28,1
1070,0,28,0
1071,0,25,0
1072,0,30,0
1073,100,22,1
1074,40,32,1
1075,0,30,0
1076,40,34,1
1077,0,24,0
1078,0,30,0
1079,0,32,0
1080,0,27,0
1081,180,34,1
1082,40,42,1
1083,100,41,1
1084,0,22,0
1085,0,27,0
1086,0,38,0
1087,0,35,0
1088,0,38,0
1089,0,35,0
1090,0,22,0
1091,100,27,1
1092,0,35,0
1093,0,23,0
1094,0,27,0
1095,40,33,1
1096,0,29,0
1097,0,37,0
1098,0,30,0
1099,0,26,0
1100,40,37,1
1101,0,24,0
1102,40,38,1
1103,40,38,1
1104,0,19,0
1105,0,26,0
1106,100,30,1
1107,0,40,0
1108,0,38,0
1109,0,25,0
1110,0,25,0
1111,0,18,0
1112,0,35,0
1113,0,23,0
1114,240,48,1
1115,740,69,1
1116,0,27,0
1117,0,26,0
1118,0,23,0
1119,0,25,0
1120,0,23,0
1121,0,25,0
1122,80,35,1
1123,0,33,0
1124,40,39,1
1125,0,31,0
1126,0,31,0
1127,0,23,0
1128,40,41,1
1129,80,32,1
1130,0,27,0
1131,0,27,0
1132,40,27,1
1133,200,27,1
1134,260,52,1
1135,0,38,0
1136,300,38,1
1137,0,40,0
1138,40,33,1
1139,0,27,0
1140,0,30,0
1141,180,49,1
1142,40,34,1
1143,0,30,0
1144,0,21,0
1145,0,22,0
1146,0,21,0
1147,0,25,0
1148,40,31,1
